科目名	学部課程	年度	科目区分	科目小区分	必須度	学修プログラム
情報基礎	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
微分積分	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
微分方程式	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
数学・物理学演習Ⅰ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
物理学実験	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
力学・物理学演習Ⅱ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
電磁気	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
重積分	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
線形代数Ⅰ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
線形代数Ⅱ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
基礎力学Ⅰ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
基礎力学Ⅱ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
力学Ⅰ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
力学Ⅱ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
機械工学・ロボティクス課程入門	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
フレッシャーズセミナー	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
理工学のすすめ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
キャリア実習・実習指導	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
機械力学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
材料力学基礎	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	[13,19]
流体力学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	[13]
アナログ電子制御	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
